Designator,Mid X,Mid Y,Rotation,Layer
C101,23.9,21.825,270.0,top
C102,19.253,21.925,270.0,top
C103,21.6,21.825,270.0,top
C104,12.42,52.6,180.0,top
C105,26.2,21.825,270.0,top
C106,16.95,25.65,180.0,top
C107,17.4,27.78,90.0,top
C108,50.875,45.065,270.0,top
C109,23.225,24.975,180.0,top
C110,11.125,9.477,90.0,top
C112,23.8,45.3,90.0,top
C113,19.2,45.3,90.0,top
C114,21.5,45.3,90.0,top
C115,16.9,45.3,90.0,top
D101,14.4,18.25,0.0,top
D102,31.4625,44.3,180.0,top
D103,31.4625,46.9,180.0,top
D104,57.734,40.2615,270.0,top
F101,16.75,22.9,90.0,top
J101,32.5,52.5,270.0,bottom
J102,8.7,27.75,270.0,top
J103,8.035,13.25,270.0,top
J104,58.405,14.5,90.0,top
J105,6.665,41.5,270.0,top
L101,22.0,35.5,90.0,top
R101,28.8525,43.85,0.0,top
R102,28.8525,44.84,180.0,top
R103,61.2,45.45,90.0,top
R104,28.8525,46.9,0.0,top
R105,23.7,26.375,270.0,top
R106,22.75,26.375,270.0,top
R107,21.8,26.375,90.0,top
R108,59.256,41.7324,0.0,top
U101,19.6,26.25,180.0,top
U102,55.259,45.065,270.0,top
